"url","search_console_state","last_crawl","current_http_status","intended_indexability","canonical_declared","canonical_selected_by_google","in_current_sitemap","current_internal_links","locale","replacement_url","action"
"https://5sigmas.com/en/proximamente/","noindex","15 ago 2026","200","not index","https://5sigmas.com/en/proximamente/","https://5sigmas.com/en/proximamente/","no","","en","","Noindex intencional: Coming Soon"
"https://5sigmas.com/proximamente/","noindex","14 ago 2026","200","not index","https://5sigmas.com/proximamente/","https://5sigmas.com/proximamente/","no","","es","","Noindex intencional: Proximamente"
"https://5sigmas.com/temas/multimodalidad/","noindex","30 jul 2026","200","not index","","","no","","es","","Noindex explicito en la fuente y fuera de navegacion"
"https://5sigmas.com/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/","noindex","28 abr 2026","200","index","https://5sigmas.com/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/","https://5sigmas.com/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/","yes","","es","","Registro GSC historico: runtime actual es indexable"
"https://5sigmas.com/series/seguridad-ia/01-prompt-injection/","404","26 jul 2026","200","index","https://5sigmas.com/series/seguridad-ia/01-prompt-injection/","https://5sigmas.com/series/seguridad-ia/01-prompt-injection/","yes","","es","","Registro GSC historico: runtime actual es 200"
"https://5sigmas.com/assets/templates/animation_prompt/","404","26 mar 2026","404","not index","","","no","","es","","Ruta inexistente sin sustitucion aprobada"
"https://5sigmas.com/en/videos/series/datacenters-espacio/01-por-que-ahora/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/videos/series/datacenters-espacio/01-por-que-ahora/","https://5sigmas.com/en/videos/series/datacenters-espacio/01-por-que-ahora/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/llms/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/llms/","https://5sigmas.com/en/temas/llms/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/articulos-tecnicos/voice-agent-architectures/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/articulos-tecnicos/voice-agent-architectures/","https://5sigmas.com/en/articulos-tecnicos/voice-agent-architectures/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/articulos-tecnicos/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/articulos-tecnicos/","https://5sigmas.com/en/articulos-tecnicos/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/articulos-tecnicos/proactive-reactive-agent-and-tool-calls/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/articulos-tecnicos/proactive-reactive-agent-and-tool-calls/","https://5sigmas.com/en/articulos-tecnicos/proactive-reactive-agent-and-tool-calls/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/","https://5sigmas.com/en/temas/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/","https://5sigmas.com/en/videos/series/multimodalidad-iag/01-el-problema/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/datacenters-espacio/04-huella-real-datacenter/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/datacenters-espacio/04-huella-real-datacenter/","https://5sigmas.com/en/series/datacenters-espacio/04-huella-real-datacenter/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/agentes-ia/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/agentes-ia/","https://5sigmas.com/en/temas/agentes-ia/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/razonamiento/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/razonamiento/","https://5sigmas.com/en/temas/razonamiento/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/transformer/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/transformer/","https://5sigmas.com/en/temas/transformer/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/temas/prompt-injection/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/temas/prompt-injection/","https://5sigmas.com/en/temas/prompt-injection/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/articulos-tecnicos/reactive-proactive-voice-agents/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/articulos-tecnicos/reactive-proactive-voice-agents/","https://5sigmas.com/en/articulos-tecnicos/reactive-proactive-voice-agents/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/videos/series/modelos-razonadores/04-latencia-streaming/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/videos/series/modelos-razonadores/04-latencia-streaming/","https://5sigmas.com/en/videos/series/modelos-razonadores/04-latencia-streaming/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/","https://5sigmas.com/en/series/ia-pib-bienestar-energia/04-ia-pib-hoy/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/","https://5sigmas.com/en/series/seguridad-ia/05-controles-produccion/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/","https://5sigmas.com/en/series/seguridad-ia/03-envenenamiento/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/datacenters-espacio/01-por-que-ahora/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/datacenters-espacio/01-por-que-ahora/","https://5sigmas.com/en/series/datacenters-espacio/01-por-que-ahora/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/00_presentacion_serie/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/00_presentacion_serie/","https://5sigmas.com/en/videos/series/ia-pib-bienestar-energia/00_presentacion_serie/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/datacenters-espacio/03-que-es-datacenter-espacio/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/datacenters-espacio/03-que-es-datacenter-espacio/","https://5sigmas.com/en/series/datacenters-espacio/03-que-es-datacenter-espacio/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/","https://5sigmas.com/en/series/seguridad-ia/01-prompt-injection/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/videos/series/multimodalidad-iag/05-riesgos/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/videos/series/multimodalidad-iag/05-riesgos/","https://5sigmas.com/videos/series/multimodalidad-iag/05-riesgos/","yes","","es","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/","https://5sigmas.com/en/series/seguridad-ia/04-red-teaming/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/datacenters-espacio/02-energia-calor-conectividad/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/datacenters-espacio/02-energia-calor-conectividad/","https://5sigmas.com/en/series/datacenters-espacio/02-energia-calor-conectividad/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/","https://5sigmas.com/en/series/seguridad-ia/02-jailbreaks/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/","https://5sigmas.com/en/series/multimodalidad-iag/03-arquitecturas/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
"https://5sigmas.com/en/videos/","crawled not indexed","15 ago 2026","200","index","https://5sigmas.com/en/videos/","https://5sigmas.com/en/videos/","yes","","en","","Runtime 200 index self-canonical y sitemap valido"
